Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
21/03/2024,"34.834,174","0,000","633,414","2.528,317","0,000","0,000","5.909,336","0,000","0,000","20.911,292","512,235","1.991,098","0,000","6.507,769","475,000","157,699","0,000","0,000","29,000","329,000","0,000","0,000","39.984,160"
22/03/2024,"34.764,030","0,000","694,918","4.247,330","0,000","0,000","5.201,762","0,000","0,000","12.707,367","453,863","2.259,303","0,000","10.349,601","71,000","160,000","0,000","0,000","0,000","149,000","13,563","0,000","36.307,707"
23/03/2024,"27.835,716","0,000","417,198","2.443,155","0,000","0,000","4.228,787","0,000","0,000","19.302,460","534,855","1.126,674","0,000","1.352,367","210,000","0,000","0,000","0,000","11,000","214,000","37,878","0,000","29.878,374"
24/03/2024,"30.742,127","0,000","1.112,361","2.925,630","0,000","0,000","6.338,285","0,000","0,000","14.315,374","979,440","1.231,736","0,000","2.576,471","115,000","0,000","0,000","0,000","0,000","230,000","31,555","0,000","29.855,852"
25/03/2024,"38.802,739","0,000","843,627","2.585,968","0,000","0,000","6.672,310","0,000","0,000","23.230,332","448,517","2.511,917","0,000","6.829,647","476,500","200,389","0,000","0,000","152,000","336,000","62,272","0,000","44.349,479"
26/03/2024,"52.520,266","0,000","1.089,469","5.722,273","0,000","0,000","11.241,751","0,000","0,000","31.264,514","1.465,268","5.458,760","0,000","5.878,201","500,000","0,000","0,000","0,000","0,000","230,000","0,000","0,000","62.850,236"
27/03/2024,"40.718,207","0,000","595,201","2.576,224","0,000","0,000","8.860,977","0,000","0,000","23.587,409","722,093","2.836,339","0,000","9.392,691","1.060,000","60,200","0,000","0,000","139,155","167,000","78,359","0,000","50.075,648"
28/03/2024,"48.502,137","0,000","604,168","2.606,346","0,000","0,000","9.826,417","0,000","0,000","26.491,335","2.725,618","3.147,497","0,000","7.981,304","699,000","0,000","0,000","0,000","0,000","122,000","905,487","0,000","55.109,172"
29/03/2024,"45.775,537","0,000","417,310","2.244,011","0,000","0,000","7.669,639","0,000","0,000","31.395,937","1.288,002","1.786,673","0,000","9.150,637","10,000","0,000","0,000","0,000","50,000","20,000","62,348","0,000","54.094,557"
30/03/2024,"27.429,131","0,000","378,686","1.708,504","0,000","0,000","6.955,771","0,000","0,000","21.269,301","1.696,047","3.148,623","0,000","1.987,052","0,000","0,000","0,000","0,000","105,000","90,000","359,044","0,000","37.698,028"
31/03/2024,"28.747,264","0,000","919,425","2.220,870","0,000","0,000","8.362,064","0,000","0,000","13.595,523","1.097,136","2.019,795","0,000","4.991,776","116,000","2,600","0,000","0,000","0,000","40,000","147,505","0,000","33.512,694"
01/04/2024,"23.388,613","0,000","270,217","1.319,450","0,000","0,000","5.316,939","0,000","0,000","16.308,136","614,353","1.246,792","0,000","2.382,296","165,000","0,000","0,000","0,000","80,000","160,000","67,559","0,000","27.930,742"
02/04/2024,"36.982,782","0,000","1.414,853","1.740,475","0,000","0,000","4.472,388","0,000","0,000","21.244,444","412,742","6.267,407","0,000","6.228,300","102,599","0,000","0,000","0,000","32,000","109,000","198,826","0,000","42.223,034"
03/04/2024,"42.768,297","0,000","2.486,131","2.980,402","0,000","0,000","5.466,198","0,000","0,000","30.506,375","540,952","2.500,484","0,000","3.616,930","781,268","454,202","0,000","0,000","111,000","326,000","140,710","0,000","49.910,652"
04/04/2024,"39.704,604","0,000","410,077","2.884,993","0,000","0,000","5.208,839","0,000","0,000","32.906,332","1.077,325","4.346,369","0,000","6.828,054","335,000","11,600","0,000","0,000","0,000","135,000","30,306","0,000","54.173,895"
05/04/2024,"39.986,102","0,000","566,137","2.327,001","0,000","0,000","6.895,768","0,000","0,000","23.380,877","240,272","4.109,712","0,000","5.798,670","340,000","0,000","0,000","0,000","0,000","120,000","0,000","0,000","43.778,437"
06/04/2024,"32.181,264","0,000","685,650","2.986,624","0,000","0,000","8.300,885","0,000","0,000","16.620,238","435,178","2.893,169","0,000","2.816,547","877,644","2,200","0,000","0,000","30,000","380,000","80,353","0,000","36.108,488"
07/04/2024,"26.314,586","0,000","1.009,674","2.061,781","0,000","0,000","2.979,985","0,000","0,000","12.028,202","1.035,724","4.338,875","0,000","2.756,814","700,000","32,151","0,000","0,000","0,000","301,000","0,000","0,000","27.244,206"
08/04/2024,"35.271,500","0,000","1.264,849","2.841,725","0,000","0,000","6.700,981","0,000","0,000","17.145,227","824,959","2.066,868","0,000","5.291,691","2.517,181","0,000","0,000","0,000","0,000","121,791","104,248","0,000","38.879,520"
09/04/2024,"32.195,350","0,000","696,317","4.121,076","0,000","0,000","3.595,705","0,000","0,000","19.011,820","908,474","2.541,137","0,000","4.899,377","1.152,625","2,400","0,000","0,000","27,000","135,000","19,493","0,000","37.110,424"
10/04/2024,"38.227,073","0,000","1.310,063","2.460,598","0,000","0,000","5.597,940","0,000","0,000","16.477,899","920,296","3.317,411","0,000","5.940,029","1.616,587","270,200","0,000","0,000","1.449,355","714,000","227,015","0,000","40.301,393"
11/04/2024,"37.506,072","0,000","508,013","1.918,409","0,000","0,000","3.761,497","0,000","0,000","28.600,501","477,742","1.865,164","0,000","5.394,538","639,053","7,100","0,000","0,000","39,000","205,000","21,905","0,000","43.437,922"
12/04/2024,"30.808,299","0,000","774,315","1.806,440","0,000","0,000","6.688,655","0,000","0,000","25.071,426","345,928","1.577,596","0,000","2.966,600","1.356,622","28,500","0,000","0,000","6,000","100,000","91,558","0,000","40.813,640"
13/04/2024,"23.279,506","0,000","340,359","3.260,713","0,000","0,000","5.781,527","0,000","0,000","17.933,903","445,478","2.312,849","0,000","1.918,451","375,000","0,000","0,000","0,000","0,000","70,000","0,000","0,000","32.438,280"
14/04/2024,"25.009,914","0,000","447,284","2.068,076","0,000","0,000","4.505,534","0,000","0,000","18.472,999","414,006","1.657,486","0,000","2.106,876","535,000","13,995","0,000","0,000","0,000","115,000","0,000","0,000","30.336,256"
15/04/2024,"39.096,988","0,000","669,022","2.545,318","0,000","0,000","5.224,267","0,000","0,000","24.011,575","380,265","4.538,472","0,000","4.497,464","875,027","354,900","0,000","0,000","34,000","336,000","264,988","0,000","43.731,298"
16/04/2024,"33.511,742","0,000","655,195","2.111,483","0,000","0,000","7.499,653","0,000","0,000","20.194,908","309,325","3.398,996","0,000","2.815,721","612,500","0,000","0,000","0,000","0,000","90,000","10,370","0,000","37.698,151"
17/04/2024,"44.305,450","0,000","972,961","3.343,186","0,000","0,000","9.950,005","0,000","0,000","19.945,018","458,371","4.255,447","0,000","4.432,006","715,000","290,400","0,000","0,000","0,000","99,000","388,448","0,000","44.849,842"
18/04/2024,"37.449,938","0,000","754,446","3.095,700","0,000","0,000","6.560,276","0,000","0,000","23.660,356","503,311","2.539,666","0,000","3.534,874","800,000","170,500","0,000","0,000","49,000","141,000","82,797","0,000","41.891,926"
19/04/2024,"32.444,936","0,000","352,272","1.825,284","0,000","0,000","5.397,182","0,000","0,000","29.220,397","423,133","3.246,933","0,000","2.283,578","345,000","58,500","0,000","0,000","2,000","299,000","0,000","0,000","43.453,279"
20/04/2024,"28.557,531","0,000","446,683","1.758,777","0,000","0,000","4.891,422","0,000","0,000","18.838,145","642,051","1.827,381","0,000","2.324,557","595,000","0,000","0,000","0,000","519,860","90,000","0,000","0,000","31.933,876"
21/04/2024,"27.474,116","0,000","735,653","1.008,734","0,000","0,000","4.993,641","0,000","0,000","17.151,372","332,687","2.431,490","0,000","1.937,229","1.375,000","0,000","0,000","0,000","0,000","48,000","0,000","0,000","30.013,806"
